transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_mode,merchant,status_transaction
10395,45,2024-05-17 03:45:09,Transfer,6274.11,Branch,Amazon,Success
33476,46,2024-08-02 13:02:09,Transfer,7408.78,Branch,PayTM,Success
25411,47,2024-07-17 14:55:14,Bill Payment,4428.42,ATM,Reliance,Success
5841,48,2025-03-04 19:27:47,Withdrawal,199.8,Branch,,Success
29069,49,2024-05-26 05:34:05,Deposit,8616.55,Online,,Success
7969,50,2025-05-31 08:07:25,Deposit,10628.81,UPI,,Success
19317,51,2025-01-20 19:51:57,Deposit,5901.32,Online,,Pending
48767,52,2024-12-25 18:04:44,Deposit,7082.54,Branch,,Pending
25462,53,2025-06-08 04:21:58,Withdrawal,11343.89,UPI,,Success
10605,54,2025-05-03 20:45:48,Deposit,19081.93,UPI,,Success
43099,55,2024-04-21 06:37:33,Withdrawal,11604.42,UPI,,Success
37943,56,2025-06-25 17:55:04,Transfer,10964.3,Online,BigBasket,Success
7602,57,2024-05-06 23:23:30,Withdrawal,8876.92,UPI,,Success
1473,58,2024-01-26 05:56:47,Deposit,27442.18,Online,,Success
2413,59,2025-05-18 20:43:11,Transfer,7731.69,UPI,Reliance,Pending
33561,60,2024-12-27 17:23:38,Withdrawal,12891.13,Branch,,Success
35116,61,2024-02-26 18:07:31,Deposit,3715.31,Online,,Success
36457,62,2024-08-09 16:19:16,Deposit,5714.15,ATM,,Success
43621,63,2025-10-02 21:11:22,Bill Payment,15289.23,Online,IRCTC,Success
31448,64,2025-03-25 03:05:32,Deposit,13878.98,ATM,,Success
42954,65,2025-04-14 05:25:59,Deposit,1096.92,ATM,,Success
21685,66,2023-12-16 21:30:26,Transfer,7980.04,UPI,BigBasket,Success
29629,67,2024-06-18 02:37:14,Deposit,15109.71,ATM,,Success
18400,68,2025-06-11 19:11:27,Withdrawal,5763.81,Online,,Success
36920,69,2024-01-29 20:41:35,Deposit,17925.75,ATM,,Success
8581,70,2024-02-20 04:24:47,Deposit,8594.74,ATM,,Success
6509,71,2024-03-30 23:59:43,Withdrawal,15044.01,UPI,,Success
10544,72,2024-02-11 19:35:12,Deposit,7458.74,ATM,,Success
292,73,2023-11-13 14:09:19,Transfer,8068.37,UPI,Flipkart,Success
14445,74,2024-06-11 08:42:26,Withdrawal,3139.56,Online,,Success
17527,75,2025-01-03 15:33:50,Withdrawal,1047.39,ATM,,Success
15070,76,2025-09-23 23:05:30,Transfer,35224.89,Branch,Flipkart,Success
13077,77,2023-10-11 15:44:06,Withdrawal,1483.38,Online,,Pending
7956,78,2024-02-09 13:00:50,Deposit,9644.41,ATM,,Success
32472,79,2025-07-09 20:35:43,Transfer,11007.43,Online,Flipkart,Pending
36258,80,2025-08-15 04:36:06,Withdrawal,464.34,Branch,,Pending
1057,81,2024-09-25 10:47:06,Bill Payment,9659.05,Branch,Amazon,Success
34709,82,2023-11-24 22:02:39,Withdrawal,22389.79,UPI,,Pending
45813,83,2025-04-25 21:33:13,Withdrawal,5050.89,UPI,,Success
48023,84,2024-11-16 21:16:35,Deposit,9174.69,Branch,,Success
22115,85,2025-07-31 00:55:52,Deposit,12789.89,UPI,,Success
29954,86,2025-08-06 22:22:31,Withdrawal,2932.32,Branch,,Success
18048,87,2023-12-04 21:55:55,Transfer,1995.72,UPI,Electricity Board,Failed
49096,88,2025-03-16 16:04:39,Transfer,10437.68,Online,Water Board,Success
25340,89,2024-08-24 13:29:23,Deposit,507.55,Online,,Success
40543,90,2024-03-24 08:05:45,Withdrawal,11785.49,UPI,,Success
26238,91,2025-09-16 08:08:14,Transfer,19810.15,Branch,PhonePe,Success
32445,92,2025-08-15 21:41:04,Withdrawal,3693.77,Online,,Success
33464,93,2024-09-29 09:03:46,Withdrawal,10749.44,ATM,,Success
44830,94,2024-09-20 22:27:57,Withdrawal,5212.67,ATM,,Success
37165,95,2025-01-06 12:12:07,Withdrawal,162.18,ATM,,Success
32556,96,2024-12-28 16:12:03,Deposit,27934.15,Branch,,Success
20060,97,2025-09-17 17:42:07,Deposit,6437.31,ATM,,Success
10965,98,2024-07-30 08:53:58,Transfer,1129.31,Online,Amazon,Success
1699,99,2025-01-16 20:24:51,Withdrawal,8332.2,Branch,,Success
43061,100,2024-07-02 17:01:48,Deposit,11939.45,Online,,Failed
27876,101,2024-01-19 05:25:01,Transfer,5603.49,Online,PhonePe,Success
1017,102,2024-04-14 16:59:54,Transfer,2322.81,ATM,PayTM,Success
7954,103,2025-04-08 19:52:49,Deposit,1672.49,ATM,,Success
29715,104,2025-05-18 16:47:41,Deposit,12729.68,ATM,,Success
22312,105,2023-11-21 23:58:11,Transfer,4512.02,Online,Water Board,Success
16615,106,2024-06-05 02:19:13,Deposit,7707.67,Online,,Failed
10917,107,2025-04-30 17:55:12,Deposit,6060.26,ATM,,Success
11260,108,2024-07-06 16:53:14,Deposit,2379.79,Online,,Success
32294,109,2025-04-10 21:45:17,Withdrawal,16679.79,UPI,,Failed
32341,110,2024-02-21 04:11:43,Bill Payment,14926.59,UPI,Amazon,Success
5594,111,2024-02-11 04:53:38,Transfer,15172.72,Online,BigBasket,Success
38833,112,2024-01-02 08:09:38,Deposit,9859.44,Branch,,Success
1228,113,2025-05-23 22:02:10,Transfer,9376.66,Online,IRCTC,Success
43398,114,2023-10-22 13:16:47,Withdrawal,32861.29,Branch,,Pending
47825,115,2025-04-29 02:08:15,Deposit,9294.3,Online,,Failed
41933,116,2024-04-11 12:45:35,Transfer,31804.76,UPI,Water Board,Success
46119,117,2025-03-06 09:12:10,Deposit,8983.56,UPI,,Failed
33824,118,2024-08-19 22:26:55,Transfer,11268.84,Branch,Gas Supplier,Success
22160,119,2023-12-21 17:34:03,Deposit,7993.13,UPI,,Success
25405,120,2025-03-25 15:26:38,Deposit,6273.93,Branch,,Success
8991,121,2023-11-07 03:49:14,Transfer,8022.32,Online,Reliance,Success
10109,122,2023-10-24 23:26:03,Withdrawal,36777.6,UPI,,Success
20219,123,2024-01-13 20:52:22,Deposit,6276.89,Branch,,Success
10953,124,2025-02-20 02:17:54,Deposit,3455.96,ATM,,Success
26189,125,2025-07-22 19:09:04,Withdrawal,27926.21,ATM,,Success
33573,126,2025-05-30 18:55:18,Bill Payment,9674.24,UPI,PayTM,Pending
36536,127,2024-01-27 13:05:44,Withdrawal,248.18,Branch,,Success
3738,128,2025-05-23 06:45:56,Deposit,6671.09,UPI,,Success
38894,129,2025-03-13 22:59:12,Deposit,6918.94,ATM,,Success
10268,130,2025-06-15 16:19:49,Deposit,4663.01,UPI,,Success
47933,131,2025-02-16 08:54:52,Transfer,6454.63,Branch,IRCTC,Success
48795,132,2025-05-16 22:42:54,Deposit,2327.92,ATM,,Failed
27417,133,2024-08-16 21:20:04,Deposit,7774.62,Branch,,Success
30911,134,2024-02-18 06:39:28,Deposit,15456.81,UPI,,Success
17595,135,2024-05-17 18:09:29,Transfer,7282.97,ATM,Electricity Board,Success
21412,136,2025-04-13 21:29:02,Bill Payment,6630.82,UPI,IRCTC,Failed
48291,137,2024-12-28 18:55:02,Transfer,4289.28,ATM,Gas Supplier,Success
21022,138,2024-05-07 13:08:10,Transfer,9880.17,Online,PayTM,Success
45951,139,2025-04-26 15:41:16,Transfer,3579.11,ATM,Flipkart,Failed
47021,140,2024-02-19 01:34:37,Bill Payment,2854.17,Online,Water Board,Success
41126,141,2023-11-28 10:08:12,Transfer,9601.12,UPI,Amazon,Success
12638,142,2025-05-04 17:32:08,Transfer,2420.35,UPI,IRCTC,Pending
49037,143,2023-11-27 03:36:13,Transfer,14885.85,Branch,Reliance,Pending
25495,144,2024-05-16 01:30:16,Transfer,25095.05,Online,Flipkart,Success
7138,145,2025-04-21 23:15:28,Deposit,416.41,Online,,Success
36412,146,2025-09-14 18:07:29,Deposit,8165.64,Online,,Success
32862,147,2024-09-03 12:17:18,Deposit,1274.42,Online,,Success
34470,148,2024-12-23 17:18:24,Bill Payment,7164.61,ATM,Electricity Board,Success
2039,149,2024-04-18 05:53:39,Deposit,2949.0,Online,,Success
5062,150,2024-08-10 20:36:10,Withdrawal,3159.36,Online,,Success
11026,151,2024-09-16 14:22:48,Withdrawal,27268.52,Branch,,Failed
3187,152,2023-12-15 13:49:23,Bill Payment,1810.5,Branch,PayTM,Success
23318,153,2024-10-27 15:37:47,Withdrawal,8523.32,UPI,,Success
2725,154,2025-04-06 06:22:04,Withdrawal,1857.23,Online,,Success
14704,155,2024-06-27 11:41:44,Deposit,6281.83,UPI,,Failed
9903,156,2024-02-09 12:09:24,Withdrawal,39088.86,Online,,Success
6922,157,2023-11-18 19:18:53,Deposit,34586.19,UPI,,Success
13231,158,2024-09-18 07:47:03,Withdrawal,7872.23,ATM,,Pending
28718,159,2024-09-10 15:00:22,Withdrawal,7115.72,UPI,,Success
9036,160,2023-11-24 19:33:18,Transfer,7665.71,ATM,PayTM,Success
42411,161,2024-11-30 06:36:48,Deposit,2142.03,Branch,,Success
14021,162,2025-06-06 15:52:41,Withdrawal,4430.99,ATM,,Success
20500,163,2024-10-30 23:35:13,Deposit,11256.35,Branch,,Success
3418,164,2024-04-11 07:56:34,Deposit,10393.41,Branch,,Success
24349,165,2023-10-10 15:15:20,Deposit,5891.65,UPI,,Success
1946,166,2023-10-31 04:39:08,Deposit,56401.48,Online,,Success
13907,167,2024-09-21 11:47:49,Withdrawal,3678.78,ATM,,Success
2914,168,2025-04-29 12:25:33,Bill Payment,4910.26,ATM,Reliance,Success
16098,169,2024-04-21 12:58:53,Withdrawal,67517.76,UPI,,Success
4692,170,2024-02-27 17:13:14,Deposit,14548.37,ATM,,Success
11330,171,2024-08-14 23:47:28,Bill Payment,4937.48,Branch,Reliance,Success
5282,172,2024-03-05 00:02:48,Bill Payment,5778.22,Branch,Gas Supplier,Success
40250,173,2024-07-05 22:43:19,Withdrawal,4627.27,Branch,,Success
5331,174,2023-10-31 14:23:07,Withdrawal,6084.48,Online,,Pending
19524,175,2025-01-29 23:25:13,Withdrawal,22164.88,Branch,,Pending
36124,176,2024-08-31 23:44:59,Withdrawal,4077.01,UPI,,Success
9921,177,2024-01-18 16:47:26,Deposit,8848.52,UPI,,Success
33577,178,2024-06-30 15:33:47,Deposit,39139.86,ATM,,Success
8527,179,2024-03-17 11:44:17,Deposit,18581.47,Branch,,Success
47675,180,2024-07-02 13:06:00,Withdrawal,7224.61,ATM,,Success
32547,181,2024-06-29 11:14:21,Withdrawal,3909.01,Online,,Success
9148,182,2024-07-04 17:01:14,Withdrawal,9543.42,ATM,,Success
44246,183,2025-05-09 20:35:46,Withdrawal,6811.12,Online,,Success
11644,184,2025-08-25 11:22:35,Deposit,45844.39,UPI,,Success
24976,185,2024-06-20 16:10:23,Deposit,23783.24,UPI,,Pending
39343,186,2025-09-08 05:42:24,Deposit,1653.67,ATM,,Success
40655,187,2024-11-21 03:37:31,Withdrawal,48316.29,Online,,Success
278,188,2024-03-02 09:53:33,Transfer,9439.89,ATM,PayTM,Pending
44969,189,2024-11-25 02:10:49,Deposit,3768.67,Branch,,Success
2295,190,2025-08-02 18:17:28,Withdrawal,6048.46,Online,,Failed
20611,191,2024-10-13 18:17:36,Bill Payment,1785.11,ATM,Amazon,Success
8233,192,2025-06-06 18:19:02,Withdrawal,4243.84,UPI,,Success
11307,193,2024-03-08 12:17:20,Transfer,5061.9,UPI,PayTM,Success
32787,194,2024-01-24 11:42:55,Deposit,2656.19,UPI,,Success
45088,195,2024-12-27 17:53:40,Deposit,1952.07,ATM,,Success
48871,196,2024-04-25 03:14:40,Bill Payment,20831.01,UPI,IRCTC,Success
1412,197,2024-09-07 16:13:21,Deposit,4417.99,UPI,,Success
6525,198,2024-11-22 07:52:38,Deposit,4140.53,ATM,,Success
45399,199,2024-02-08 02:55:12,Withdrawal,9192.6,ATM,,Failed
47742,200,2025-10-06 06:11:41,Deposit,3099.17,Online,,Success
10411,201,2023-12-06 01:11:27,Deposit,7962.83,Branch,,Success
45914,202,2025-05-18 06:45:59,Withdrawal,15923.14,UPI,,Success
38133,203,2025-03-12 10:18:16,Transfer,13748.8,ATM,Water Board,Success
40961,204,2025-03-23 19:48:07,Transfer,8926.0,UPI,BigBasket,Success
40502,205,2023-10-11 13:01:12,Deposit,28934.95,Branch,,Success
8536,206,2024-04-02 02:14:59,Deposit,6620.91,ATM,,Success
32344,207,2023-11-29 18:29:51,Deposit,11563.96,Online,,Success
18586,208,2023-12-30 05:26:22,Withdrawal,3117.57,UPI,,Success
29442,209,2025-04-06 16:00:16,Transfer,26992.42,Online,PhonePe,Success
14462,210,2025-10-03 15:45:30,Deposit,758.36,Branch,,Success
14222,211,2025-05-15 04:37:36,Withdrawal,7021.89,Online,,Success
8842,212,2025-04-05 19:25:03,Deposit,66629.97,Online,,Success
30075,213,2024-06-26 16:13:25,Deposit,520.17,Online,,Success
32638,214,2024-03-13 05:56:20,Deposit,2739.6,ATM,,Success
17402,215,2024-03-21 07:55:50,Transfer,10255.67,Online,PayTM,Success
8019,216,2025-04-10 20:21:26,Transfer,1392.4,ATM,Electricity Board,Success
45891,217,2024-11-16 13:36:39,Deposit,12163.76,Online,,Success
20303,218,2025-09-27 11:52:23,Withdrawal,4351.02,UPI,,Success
38043,219,2024-06-14 01:13:03,Deposit,35029.6,Branch,,Success
16072,220,2025-03-02 15:31:11,Bill Payment,10222.11,Branch,Electricity Board,Success
33272,221,2025-01-03 18:25:51,Transfer,29007.84,ATM,PhonePe,Success
48535,222,2024-09-05 14:53:50,Withdrawal,24882.71,UPI,,Success
33869,223,2024-09-29 02:40:33,Withdrawal,11524.82,ATM,,Success
16890,224,2024-02-21 21:58:31,Deposit,806.39,UPI,,Success
46917,225,2025-03-07 21:25:18,Deposit,7009.64,ATM,,Success
2663,226,2024-10-10 15:52:02,Transfer,748.16,ATM,Gas Supplier,Success
20226,227,2025-07-09 20:48:01,Deposit,19546.47,ATM,,Success
11149,228,2025-04-26 03:25:09,Withdrawal,38730.58,UPI,,Success
49487,229,2024-01-04 02:51:39,Withdrawal,1535.96,ATM,,Success
36538,230,2025-09-08 11:02:48,Transfer,9104.07,ATM,PhonePe,Success
26056,231,2024-02-07 19:08:55,Deposit,164.82,ATM,,Success
11171,232,2024-11-11 01:19:13,Bill Payment,14032.52,Online,PayTM,Success
28196,233,2024-12-01 12:09:59,Deposit,4853.71,Online,,Success
8861,234,2025-02-08 22:41:32,Bill Payment,7390.97,Online,Reliance,Success
27985,235,2024-08-27 23:40:09,Transfer,16127.65,ATM,Gas Supplier,Success
12703,236,2025-03-04 22:07:13,Transfer,23353.32,Online,Reliance,Pending
48075,237,2025-02-21 19:09:58,Deposit,3707.3,UPI,,Success
18090,238,2023-11-17 15:04:05,Deposit,1140.68,Online,,Success
13487,239,2023-11-13 06:19:08,Withdrawal,7076.71,Branch,,Success
17776,240,2025-10-06 05:23:26,Deposit,13633.4,ATM,,Success
13139,241,2024-11-17 19:53:13,Withdrawal,42922.46,Online,,Success
30073,242,2025-06-25 21:21:36,Withdrawal,2824.02,ATM,,Success
48226,243,2024-09-11 19:59:50,Transfer,49021.11,Online,Amazon,Success
23190,244,2025-04-10 12:23:05,Deposit,18470.05,Online,,Success
11485,245,2023-10-11 16:34:39,Deposit,3792.54,UPI,,Failed
28404,246,2024-07-17 00:34:30,Deposit,55110.84,Online,,Success
36232,247,2024-09-04 16:03:44,Deposit,4048.08,ATM,,Success
43113,248,2024-09-12 05:12:06,Withdrawal,11835.21,Online,,Pending
33367,249,2024-05-10 07:42:21,Withdrawal,13639.9,Online,,Success
11275,250,2025-08-16 05:53:00,Withdrawal,7450.61,UPI,,Failed
1005,251,2023-11-23 11:04:47,Deposit,39080.58,Branch,,Success
46430,252,2025-02-27 17:32:32,Bill Payment,3804.98,Online,Amazon,Success
21363,253,2024-09-20 11:24:07,Transfer,29899.59,ATM,Amazon,Success
38980,254,2024-03-08 19:10:05,Deposit,176.4,Online,,Success
20111,255,2024-09-29 15:22:10,Transfer,5757.26,Online,Reliance,Success
495,256,2025-04-13 15:19:39,Deposit,1639.95,Branch,,Success
28896,257,2024-11-25 19:36:59,Withdrawal,7033.11,UPI,,Success
16297,258,2024-05-25 21:00:55,Transfer,8244.46,Online,Electricity Board,Success
44629,259,2024-10-15 04:53:24,Bill Payment,37321.06,UPI,Flipkart,Success
40294,260,2024-04-02 10:27:13,Deposit,3632.67,UPI,,Success
28214,261,2024-04-17 20:20:50,Deposit,7320.87,ATM,,Success
33118,262,2023-10-20 00:42:57,Deposit,29423.87,Branch,,Success
19156,263,2024-09-11 02:48:43,Deposit,4352.82,UPI,,Success
41195,264,2025-02-25 19:16:36,Transfer,5073.18,Online,PayTM,Success
46503,265,2025-01-28 13:54:25,Withdrawal,1109.05,UPI,,Success
31775,266,2024-01-15 03:19:50,Deposit,6160.26,ATM,,Success
34473,267,2024-08-10 18:59:34,Deposit,7224.6,Online,,Success
33831,268,2025-04-29 06:59:49,Deposit,6700.77,Online,,Success
22229,269,2023-12-30 14:09:20,Transfer,4175.21,ATM,Water Board,Success
4247,270,2024-09-05 12:51:40,Deposit,1953.7,ATM,,Success
41472,271,2025-01-27 02:18:53,Withdrawal,3158.74,Online,,Success
4384,272,2025-05-16 14:29:37,Withdrawal,3172.22,UPI,,Success
15031,273,2023-11-22 00:37:25,Deposit,7367.88,UPI,,Success
18337,274,2025-02-16 00:59:44,Bill Payment,895.26,UPI,Reliance,Success
26398,275,2024-08-23 07:01:37,Transfer,645.55,Branch,Water Board,Success
733,276,2024-04-05 19:06:11,Withdrawal,3258.34,Branch,,Success
27156,277,2024-10-29 10:26:40,Deposit,285.21,Online,,Success
19444,278,2025-04-22 10:19:53,Withdrawal,4579.65,Online,,Success
24392,279,2025-04-03 16:11:31,Withdrawal,5003.62,UPI,,Success
42723,280,2024-01-25 07:26:36,Withdrawal,4175.87,ATM,,Success
38386,281,2024-09-10 08:23:18,Bill Payment,12768.12,Branch,Electricity Board,Success
43108,282,2024-01-05 10:59:48,Deposit,14307.74,Online,,Success
18527,283,2023-10-23 13:43:38,Deposit,9563.28,Branch,,Success
16854,284,2024-04-13 22:29:40,Withdrawal,14422.69,UPI,,Success
10363,285,2023-10-08 20:19:53,Withdrawal,11410.15,Branch,,Success
12747,286,2024-08-14 04:24:09,Deposit,2783.97,Online,,Failed
7673,287,2024-12-08 17:14:17,Withdrawal,2330.06,Online,,Success
15423,288,2024-01-07 16:27:40,Withdrawal,16023.37,UPI,,Success
32692,289,2025-08-16 19:54:23,Bill Payment,14383.84,ATM,Gas Supplier,Success
32544,290,2024-02-21 00:54:51,Deposit,922.01,Branch,,Success
38108,291,2024-12-15 09:53:15,Bill Payment,262.86,Branch,Gas Supplier,Success
31496,292,2025-04-04 15:52:09,Transfer,7254.84,Branch,Gas Supplier,Success
4695,293,2023-10-14 20:01:37,Deposit,12895.04,Online,,Success
8634,294,2024-07-21 07:35:18,Withdrawal,20461.49,Branch,,Success
16817,295,2025-01-10 15:00:34,Transfer,7262.8,Branch,BigBasket,Success
9764,296,2024-05-29 18:17:06,Deposit,10831.71,Branch,,Success
47904,297,2025-02-06 08:10:20,Transfer,5577.48,Branch,Water Board,Failed
15037,298,2024-03-22 15:58:04,Deposit,2338.52,UPI,,Success
15679,299,2023-11-17 02:39:03,Deposit,5070.4,UPI,,Success
43017,300,2025-01-11 09:10:14,Withdrawal,15036.99,Branch,,Success
31207,301,2024-10-19 06:05:17,Deposit,9290.36,Branch,,Success
33680,302,2024-10-23 03:41:19,Deposit,15296.72,Online,,Success
1561,303,2024-02-28 16:51:26,Deposit,4866.06,Online,,Success
12396,304,2025-10-04 15:32:46,Transfer,46107.61,UPI,IRCTC,Success
17829,305,2025-05-28 18:30:33,Withdrawal,2233.16,Online,,Success
44873,306,2025-09-17 00:14:20,Deposit,4596.84,ATM,,Success
1309,307,2024-08-12 15:20:03,Deposit,16368.37,Online,,Success
36151,308,2024-06-18 05:41:44,Withdrawal,62879.68,Branch,,Success
13460,309,2024-10-05 01:22:48,Deposit,23365.26,ATM,,Success
38945,310,2024-02-07 12:59:42,Withdrawal,20849.32,Branch,,Success
18820,311,2024-06-19 23:33:24,Withdrawal,2912.47,ATM,,Success
42441,312,2025-06-14 09:06:18,Deposit,10930.73,Online,,Success
34794,313,2024-04-04 00:15:24,Transfer,21985.86,Online,BigBasket,Success
38544,314,2023-11-23 15:29:52,Deposit,33437.95,Branch,,Success
47647,315,2024-11-16 19:26:09,Deposit,10818.92,UPI,,Success
15832,316,2024-03-12 19:32:55,Transfer,28753.58,ATM,Flipkart,Success
31764,317,2025-04-11 13:26:18,Bill Payment,6285.83,UPI,Electricity Board,Pending
32172,318,2024-12-31 02:19:02,Bill Payment,758.9,Online,Water Board,Failed
37372,319,2024-01-05 17:29:32,Withdrawal,6479.98,UPI,,Success
8568,320,2025-01-23 11:32:48,Transfer,18394.03,ATM,Electricity Board,Pending
24243,321,2023-10-13 18:13:40,Transfer,4966.27,Branch,Flipkart,Success
5643,322,2024-06-03 15:08:07,Withdrawal,16142.63,Branch,,Success
33588,323,2023-12-22 03:29:58,Deposit,9459.91,ATM,,Success
17251,324,2024-04-26 17:07:08,Deposit,6050.7,ATM,,Success
39958,325,2025-08-28 11:19:06,Deposit,4644.77,Online,,Success
49184,326,2025-01-20 02:21:17,Bill Payment,1197.09,Online,Water Board,Success
46107,327,2024-07-15 13:11:38,Deposit,8240.62,Branch,,Success
13673,328,2023-12-15 16:11:15,Bill Payment,4293.16,ATM,PayTM,Failed
3827,329,2025-01-15 01:12:50,Withdrawal,894.62,Branch,,Success
11476,330,2023-10-30 21:26:59,Deposit,12116.83,Branch,,Success
10196,331,2024-10-02 06:10:52,Deposit,1785.03,ATM,,Success
28174,332,2025-04-30 10:36:25,Withdrawal,18254.78,Online,,Success
49335,333,2024-09-26 09:40:40,Transfer,14060.86,UPI,IRCTC,Success
21215,334,2025-09-20 17:29:54,Deposit,22075.0,Online,,Success
15939,335,2025-06-21 01:41:01,Withdrawal,7529.22,Online,,Success
20689,336,2024-06-01 06:46:36,Withdrawal,365.84,UPI,,Success
28864,337,2025-09-25 22:31:08,Deposit,19267.71,UPI,,Success
37578,338,2023-12-23 02:20:34,Deposit,30735.99,ATM,,Failed
14787,339,2025-01-11 07:26:43,Bill Payment,15972.01,UPI,IRCTC,Success
46923,340,2025-04-24 22:48:09,Withdrawal,6403.7,Online,,Success
990,341,2024-12-10 18:45:44,Bill Payment,47631.8,Branch,IRCTC,Success
21065,342,2024-07-21 10:11:21,Deposit,8792.47,UPI,,Success
27938,343,2025-06-01 01:18:21,Withdrawal,1219.42,UPI,,Success
21676,344,2024-06-10 02:17:40,Withdrawal,4405.74,ATM,,Success
7411,345,2024-05-05 01:23:15,Transfer,2050.98,ATM,Amazon,Success
12475,346,2025-08-30 11:55:19,Withdrawal,5769.44,UPI,,Success
18791,347,2025-09-26 13:52:21,Transfer,999.17,Online,Reliance,Success
29677,348,2024-05-05 05:26:02,Deposit,2718.11,Branch,,Success
32049,349,2024-12-02 09:05:15,Deposit,16226.51,ATM,,Success
34490,350,2024-06-14 23:43:56,Withdrawal,7968.06,Online,,Success
34128,351,2024-05-02 11:20:34,Deposit,8667.82,UPI,,Success
10842,352,2024-03-27 12:37:52,Deposit,9749.06,Online,,Success
13889,353,2024-06-22 06:33:17,Deposit,2058.4,Online,,Success
6240,354,2025-05-22 01:37:08,Withdrawal,8855.47,Branch,,Success
10609,355,2024-06-12 15:18:35,Deposit,14907.09,UPI,,Success
21259,356,2024-12-28 20:11:26,Deposit,12610.07,Online,,Success
20790,357,2025-01-10 07:03:01,Transfer,2796.9,ATM,PhonePe,Success
43705,358,2024-07-27 09:00:56,Bill Payment,3553.18,UPI,PhonePe,Success
25492,359,2025-01-21 10:42:11,Withdrawal,2131.11,ATM,,Success
18798,360,2024-09-23 03:46:13,Deposit,10648.75,Branch,,Success
13436,361,2025-06-10 13:58:16,Deposit,6123.73,Branch,,Failed
36639,362,2024-07-13 19:45:41,Bill Payment,20221.45,Branch,Water Board,Success
17491,363,2023-11-05 06:12:31,Bill Payment,1925.72,Branch,BigBasket,Success
23764,364,2024-09-16 22:46:00,Deposit,385.36,UPI,,Pending
36144,365,2024-09-20 19:25:56,Deposit,12678.89,Branch,,Success
13617,366,2025-04-10 04:31:38,Deposit,39613.89,UPI,,Success
