transaction_id,customer_id,transaction_date,year,month,day_of_week,hour,transaction_type,transaction_category,transaction_mode,merchant,amount,status_transaction
43099,55,2024-04-21 06:37:33,2024,April,Sunday,6,Withdrawal,Debit,UPI,ATM Withdrawal,11604.42,Success
37943,56,2025-06-25 17:55:04,2025,June,Wednesday,17,Transfer,Transfer,Online,BigBasket,10964.3,Success
7602,57,2024-05-06 23:23:30,2024,May,Monday,23,Withdrawal,Debit,UPI,ATM Withdrawal,8876.92,Success
1473,58,2024-01-26 05:56:47,2024,January,Friday,5,Deposit,Credit,Online,Bank Deposit,27442.18,Success
2413,59,2025-05-18 20:43:11,2025,May,Sunday,20,Transfer,Transfer,UPI,Reliance,7731.69,Pending
33561,60,2024-12-27 17:23:38,2024,December,Friday,17,Withdrawal,Debit,Branch,ATM Withdrawal,12891.13,Success
35116,61,2024-02-26 18:07:31,2024,February,Monday,18,Deposit,Credit,Online,Bank Deposit,3715.31,Success
36457,62,2024-08-09 16:19:16,2024,August,Friday,16,Deposit,Credit,ATM,Bank Deposit,5714.15,Success
43621,63,2025-10-02 21:11:22,2025,October,Thursday,21,Bill Payment,Debit,Online,IRCTC,15289.23,Success
31448,64,2025-03-25 03:05:32,2025,March,Tuesday,3,Deposit,Credit,ATM,Bank Deposit,13878.98,Success
42954,65,2025-04-14 05:25:59,2025,April,Monday,5,Deposit,Credit,ATM,Bank Deposit,1096.92,Success
21685,66,2023-12-16 21:30:26,2023,December,Saturday,21,Transfer,Transfer,UPI,BigBasket,7980.04,Success
29629,67,2024-06-18 02:37:14,2024,June,Tuesday,2,Deposit,Credit,ATM,Bank Deposit,15109.71,Success
18400,68,2025-06-11 19:11:27,2025,June,Wednesday,19,Withdrawal,Debit,Online,ATM Withdrawal,5763.81,Success
36920,69,2024-01-29 20:41:35,2024,January,Monday,20,Deposit,Credit,ATM,Bank Deposit,17925.75,Success
8581,70,2024-02-20 04:24:47,2024,February,Tuesday,4,Deposit,Credit,ATM,Bank Deposit,8594.74,Success
6509,71,2024-03-30 23:59:43,2024,March,Saturday,23,Withdrawal,Debit,UPI,ATM Withdrawal,15044.01,Success
10544,72,2024-02-11 19:35:12,2024,February,Sunday,19,Deposit,Credit,ATM,Bank Deposit,7458.74,Success
292,73,2023-11-13 14:09:19,2023,November,Monday,14,Transfer,Transfer,UPI,Flipkart,8068.37,Success
14445,74,2024-06-11 08:42:26,2024,June,Tuesday,8,Withdrawal,Debit,Online,ATM Withdrawal,3139.56,Success
17527,75,2025-01-03 15:33:50,2025,January,Friday,15,Withdrawal,Debit,ATM,ATM Withdrawal,1047.39,Success
15070,76,2025-09-23 23:05:30,2025,September,Tuesday,23,Transfer,Transfer,Branch,Flipkart,35224.89,Success
13077,77,2023-10-11 15:44:06,2023,October,Wednesday,15,Withdrawal,Debit,Online,ATM Withdrawal,1483.38,Pending
7956,78,2024-02-09 13:00:50,2024,February,Friday,13,Deposit,Credit,ATM,Bank Deposit,9644.41,Success
32472,79,2025-07-09 20:35:43,2025,July,Wednesday,20,Transfer,Transfer,Online,Flipkart,11007.43,Pending
36258,80,2025-08-15 04:36:06,2025,August,Friday,4,Withdrawal,Debit,Branch,ATM Withdrawal,464.34,Pending
1057,81,2024-09-25 10:47:06,2024,September,Wednesday,10,Bill Payment,Debit,Branch,Amazon,9659.05,Success
34709,82,2023-11-24 22:02:39,2023,November,Friday,22,Withdrawal,Debit,UPI,ATM Withdrawal,22389.79,Pending
45813,83,2025-04-25 21:33:13,2025,April,Friday,21,Withdrawal,Debit,UPI,ATM Withdrawal,5050.89,Success
48023,84,2024-11-16 21:16:35,2024,November,Saturday,21,Deposit,Credit,Branch,Bank Deposit,9174.69,Success
22115,85,2025-07-31 00:55:52,2025,July,Thursday,0,Deposit,Credit,UPI,Bank Deposit,12789.89,Success
29954,86,2025-08-06 22:22:31,2025,August,Wednesday,22,Withdrawal,Debit,Branch,ATM Withdrawal,2932.32,Success
18048,87,2023-12-04 21:55:55,2023,December,Monday,21,Transfer,Transfer,UPI,Electricity Board,1995.72,Failed
49096,88,2025-03-16 16:04:39,2025,March,Sunday,16,Transfer,Transfer,Online,Water Board,10437.68,Success
25340,89,2024-08-24 13:29:23,2024,August,Saturday,13,Deposit,Credit,Online,Bank Deposit,507.55,Success
40543,90,2024-03-24 08:05:45,2024,March,Sunday,8,Withdrawal,Debit,UPI,ATM Withdrawal,11785.49,Success
26238,91,2025-09-16 08:08:14,2025,September,Tuesday,8,Transfer,Transfer,Branch,PhonePe,19810.15,Success
32445,92,2025-08-15 21:41:04,2025,August,Friday,21,Withdrawal,Debit,Online,ATM Withdrawal,3693.77,Success
33464,93,2024-09-29 09:03:46,2024,September,Sunday,9,Withdrawal,Debit,ATM,ATM Withdrawal,10749.44,Success
44830,94,2024-09-20 22:27:57,2024,September,Friday,22,Withdrawal,Debit,ATM,ATM Withdrawal,5212.67,Success
37165,95,2025-01-06 12:12:07,2025,January,Monday,12,Withdrawal,Debit,ATM,ATM Withdrawal,162.18,Success
32556,96,2024-12-28 16:12:03,2024,December,Saturday,16,Deposit,Credit,Branch,Bank Deposit,27934.15,Success
20060,97,2025-09-17 17:42:07,2025,September,Wednesday,17,Deposit,Credit,ATM,Bank Deposit,6437.31,Success
10965,98,2024-07-30 08:53:58,2024,July,Tuesday,8,Transfer,Transfer,Online,Amazon,1129.31,Success
1699,99,2025-01-16 20:24:51,2025,January,Thursday,20,Withdrawal,Debit,Branch,ATM Withdrawal,8332.2,Success
43061,100,2024-07-02 17:01:48,2024,July,Tuesday,17,Deposit,Credit,Online,Bank Deposit,11939.45,Failed
27876,101,2024-01-19 05:25:01,2024,January,Friday,5,Transfer,Transfer,Online,PhonePe,5603.49,Success
1017,102,2024-04-14 16:59:54,2024,April,Sunday,16,Transfer,Transfer,ATM,PayTM,2322.81,Success
7954,103,2025-04-08 19:52:49,2025,April,Tuesday,19,Deposit,Credit,ATM,Bank Deposit,1672.49,Success
29715,104,2025-05-18 16:47:41,2025,May,Sunday,16,Deposit,Credit,ATM,Bank Deposit,12729.68,Success
22312,105,2023-11-21 23:58:11,2023,November,Tuesday,23,Transfer,Transfer,Online,Water Board,4512.02,Success
16615,106,2024-06-05 02:19:13,2024,June,Wednesday,2,Deposit,Credit,Online,Bank Deposit,7707.67,Failed
10917,107,2025-04-30 17:55:12,2025,April,Wednesday,17,Deposit,Credit,ATM,Bank Deposit,6060.26,Success
11260,108,2024-07-06 16:53:14,2024,July,Saturday,16,Deposit,Credit,Online,Bank Deposit,2379.79,Success
32294,109,2025-04-10 21:45:17,2025,April,Thursday,21,Withdrawal,Debit,UPI,ATM Withdrawal,16679.79,Failed
32341,110,2024-02-21 04:11:43,2024,February,Wednesday,4,Bill Payment,Debit,UPI,Amazon,14926.59,Success
5594,111,2024-02-11 04:53:38,2024,February,Sunday,4,Transfer,Transfer,Online,BigBasket,15172.72,Success
38833,112,2024-01-02 08:09:38,2024,January,Tuesday,8,Deposit,Credit,Branch,Bank Deposit,9859.44,Success
1228,113,2025-05-23 22:02:10,2025,May,Friday,22,Transfer,Transfer,Online,IRCTC,9376.66,Success
43398,114,2023-10-22 13:16:47,2023,October,Sunday,13,Withdrawal,Debit,Branch,ATM Withdrawal,32861.29,Pending
47825,115,2025-04-29 02:08:15,2025,April,Tuesday,2,Deposit,Credit,Online,Bank Deposit,9294.3,Failed
41933,116,2024-04-11 12:45:35,2024,April,Thursday,12,Transfer,Transfer,UPI,Water Board,31804.76,Success
46119,117,2025-03-06 09:12:10,2025,March,Thursday,9,Deposit,Credit,UPI,Bank Deposit,8983.56,Failed
33824,118,2024-08-19 22:26:55,2024,August,Monday,22,Transfer,Transfer,Branch,Gas Supplier,11268.84,Success
22160,119,2023-12-21 17:34:03,2023,December,Thursday,17,Deposit,Credit,UPI,Bank Deposit,7993.13,Success
25405,120,2025-03-25 15:26:38,2025,March,Tuesday,15,Deposit,Credit,Branch,Bank Deposit,6273.93,Success
8991,121,2023-11-07 03:49:14,2023,November,Tuesday,3,Transfer,Transfer,Online,Reliance,8022.32,Success
10109,122,2023-10-24 23:26:03,2023,October,Tuesday,23,Withdrawal,Debit,UPI,ATM Withdrawal,36777.6,Success
20219,123,2024-01-13 20:52:22,2024,January,Saturday,20,Deposit,Credit,Branch,Bank Deposit,6276.89,Success
10953,124,2025-02-20 02:17:54,2025,February,Thursday,2,Deposit,Credit,ATM,Bank Deposit,3455.96,Success
26189,125,2025-07-22 19:09:04,2025,July,Tuesday,19,Withdrawal,Debit,ATM,ATM Withdrawal,27926.21,Success
33573,126,2025-05-30 18:55:18,2025,May,Friday,18,Bill Payment,Debit,UPI,PayTM,9674.24,Pending
36536,127,2024-01-27 13:05:44,2024,January,Saturday,13,Withdrawal,Debit,Branch,ATM Withdrawal,248.18,Success
3738,128,2025-05-23 06:45:56,2025,May,Friday,6,Deposit,Credit,UPI,Bank Deposit,6671.09,Success
38894,129,2025-03-13 22:59:12,2025,March,Thursday,22,Deposit,Credit,ATM,Bank Deposit,6918.94,Success
10268,130,2025-06-15 16:19:49,2025,June,Sunday,16,Deposit,Credit,UPI,Bank Deposit,4663.01,Success
47933,131,2025-02-16 08:54:52,2025,February,Sunday,8,Transfer,Transfer,Branch,IRCTC,6454.63,Success
48795,132,2025-05-16 22:42:54,2025,May,Friday,22,Deposit,Credit,ATM,Bank Deposit,2327.92,Failed
27417,133,2024-08-16 21:20:04,2024,August,Friday,21,Deposit,Credit,Branch,Bank Deposit,7774.62,Success
30911,134,2024-02-18 06:39:28,2024,February,Sunday,6,Deposit,Credit,UPI,Bank Deposit,15456.81,Success
17595,135,2024-05-17 18:09:29,2024,May,Friday,18,Transfer,Transfer,ATM,Electricity Board,7282.97,Success
21412,136,2025-04-13 21:29:02,2025,April,Sunday,21,Bill Payment,Debit,UPI,IRCTC,6630.82,Failed
48291,137,2024-12-28 18:55:02,2024,December,Saturday,18,Transfer,Transfer,ATM,Gas Supplier,4289.28,Success
21022,138,2024-05-07 13:08:10,2024,May,Tuesday,13,Transfer,Transfer,Online,PayTM,9880.17,Success
45951,139,2025-04-26 15:41:16,2025,April,Saturday,15,Transfer,Transfer,ATM,Flipkart,3579.11,Failed
47021,140,2024-02-19 01:34:37,2024,February,Monday,1,Bill Payment,Debit,Online,Water Board,2854.17,Success
41126,141,2023-11-28 10:08:12,2023,November,Tuesday,10,Transfer,Transfer,UPI,Amazon,9601.12,Success
12638,142,2025-05-04 17:32:08,2025,May,Sunday,17,Transfer,Transfer,UPI,IRCTC,2420.35,Pending
49037,143,2023-11-27 03:36:13,2023,November,Monday,3,Transfer,Transfer,Branch,Reliance,14885.85,Pending
25495,144,2024-05-16 01:30:16,2024,May,Thursday,1,Transfer,Transfer,Online,Flipkart,25095.05,Success
7138,145,2025-04-21 23:15:28,2025,April,Monday,23,Deposit,Credit,Online,Bank Deposit,416.41,Success
36412,146,2025-09-14 18:07:29,2025,September,Sunday,18,Deposit,Credit,Online,Bank Deposit,8165.64,Success
32862,147,2024-09-03 12:17:18,2024,September,Tuesday,12,Deposit,Credit,Online,Bank Deposit,1274.42,Success
34470,148,2024-12-23 17:18:24,2024,December,Monday,17,Bill Payment,Debit,ATM,Electricity Board,7164.61,Success
2039,149,2024-04-18 05:53:39,2024,April,Thursday,5,Deposit,Credit,Online,Bank Deposit,2949.0,Success
5062,150,2024-08-10 20:36:10,2024,August,Saturday,20,Withdrawal,Debit,Online,ATM Withdrawal,3159.36,Success
11026,151,2024-09-16 14:22:48,2024,September,Monday,14,Withdrawal,Debit,Branch,ATM Withdrawal,27268.52,Failed
3187,152,2023-12-15 13:49:23,2023,December,Friday,13,Bill Payment,Debit,Branch,PayTM,1810.5,Success
23318,153,2024-10-27 15:37:47,2024,October,Sunday,15,Withdrawal,Debit,UPI,ATM Withdrawal,8523.32,Success
2725,154,2025-04-06 06:22:04,2025,April,Sunday,6,Withdrawal,Debit,Online,ATM Withdrawal,1857.23,Success
14704,155,2024-06-27 11:41:44,2024,June,Thursday,11,Deposit,Credit,UPI,Bank Deposit,6281.83,Failed
9903,156,2024-02-09 12:09:24,2024,February,Friday,12,Withdrawal,Debit,Online,ATM Withdrawal,39088.86,Success
6922,157,2023-11-18 19:18:53,2023,November,Saturday,19,Deposit,Credit,UPI,Bank Deposit,34586.19,Success
13231,158,2024-09-18 07:47:03,2024,September,Wednesday,7,Withdrawal,Debit,ATM,ATM Withdrawal,7872.23,Pending
28718,159,2024-09-10 15:00:22,2024,September,Tuesday,15,Withdrawal,Debit,UPI,ATM Withdrawal,7115.72,Success
9036,160,2023-11-24 19:33:18,2023,November,Friday,19,Transfer,Transfer,ATM,PayTM,7665.71,Success
42411,161,2024-11-30 06:36:48,2024,November,Saturday,6,Deposit,Credit,Branch,Bank Deposit,2142.03,Success
14021,162,2025-06-06 15:52:41,2025,June,Friday,15,Withdrawal,Debit,ATM,ATM Withdrawal,4430.99,Success
20500,163,2024-10-30 23:35:13,2024,October,Wednesday,23,Deposit,Credit,Branch,Bank Deposit,11256.35,Success
3418,164,2024-04-11 07:56:34,2024,April,Thursday,7,Deposit,Credit,Branch,Bank Deposit,10393.41,Success
24349,165,2023-10-10 15:15:20,2023,October,Tuesday,15,Deposit,Credit,UPI,Bank Deposit,5891.65,Success
1946,166,2023-10-31 04:39:08,2023,October,Tuesday,4,Deposit,Credit,Online,Bank Deposit,56401.48,Success
13907,167,2024-09-21 11:47:49,2024,September,Saturday,11,Withdrawal,Debit,ATM,ATM Withdrawal,3678.78,Success
2914,168,2025-04-29 12:25:33,2025,April,Tuesday,12,Bill Payment,Debit,ATM,Reliance,4910.26,Success
16098,169,2024-04-21 12:58:53,2024,April,Sunday,12,Withdrawal,Debit,UPI,ATM Withdrawal,67517.76,Success
4692,170,2024-02-27 17:13:14,2024,February,Tuesday,17,Deposit,Credit,ATM,Bank Deposit,14548.37,Success
11330,171,2024-08-14 23:47:28,2024,August,Wednesday,23,Bill Payment,Debit,Branch,Reliance,4937.48,Success
5282,172,2024-03-05 00:02:48,2024,March,Tuesday,0,Bill Payment,Debit,Branch,Gas Supplier,5778.22,Success
40250,173,2024-07-05 22:43:19,2024,July,Friday,22,Withdrawal,Debit,Branch,ATM Withdrawal,4627.27,Success
5331,174,2023-10-31 14:23:07,2023,October,Tuesday,14,Withdrawal,Debit,Online,ATM Withdrawal,6084.48,Pending
19524,175,2025-01-29 23:25:13,2025,January,Wednesday,23,Withdrawal,Debit,Branch,ATM Withdrawal,22164.88,Pending
36124,176,2024-08-31 23:44:59,2024,August,Saturday,23,Withdrawal,Debit,UPI,ATM Withdrawal,4077.01,Success
9921,177,2024-01-18 16:47:26,2024,January,Thursday,16,Deposit,Credit,UPI,Bank Deposit,8848.52,Success
33577,178,2024-06-30 15:33:47,2024,June,Sunday,15,Deposit,Credit,ATM,Bank Deposit,39139.86,Success
8527,179,2024-03-17 11:44:17,2024,March,Sunday,11,Deposit,Credit,Branch,Bank Deposit,18581.47,Success
47675,180,2024-07-02 13:06:00,2024,July,Tuesday,13,Withdrawal,Debit,ATM,ATM Withdrawal,7224.61,Success
32547,181,2024-06-29 11:14:21,2024,June,Saturday,11,Withdrawal,Debit,Online,ATM Withdrawal,3909.01,Success
9148,182,2024-07-04 17:01:14,2024,July,Thursday,17,Withdrawal,Debit,ATM,ATM Withdrawal,9543.42,Success
44246,183,2025-05-09 20:35:46,2025,May,Friday,20,Withdrawal,Debit,Online,ATM Withdrawal,6811.12,Success
11644,184,2025-08-25 11:22:35,2025,August,Monday,11,Deposit,Credit,UPI,Bank Deposit,45844.39,Success
24976,185,2024-06-20 16:10:23,2024,June,Thursday,16,Deposit,Credit,UPI,Bank Deposit,23783.24,Pending
39343,186,2025-09-08 05:42:24,2025,September,Monday,5,Deposit,Credit,ATM,Bank Deposit,1653.67,Success
40655,187,2024-11-21 03:37:31,2024,November,Thursday,3,Withdrawal,Debit,Online,ATM Withdrawal,48316.29,Success
278,188,2024-03-02 09:53:33,2024,March,Saturday,9,Transfer,Transfer,ATM,PayTM,9439.89,Pending
44969,189,2024-11-25 02:10:49,2024,November,Monday,2,Deposit,Credit,Branch,Bank Deposit,3768.67,Success
2295,190,2025-08-02 18:17:28,2025,August,Saturday,18,Withdrawal,Debit,Online,ATM Withdrawal,6048.46,Failed
20611,191,2024-10-13 18:17:36,2024,October,Sunday,18,Bill Payment,Debit,ATM,Amazon,1785.11,Success
8233,192,2025-06-06 18:19:02,2025,June,Friday,18,Withdrawal,Debit,UPI,ATM Withdrawal,4243.84,Success
11307,193,2024-03-08 12:17:20,2024,March,Friday,12,Transfer,Transfer,UPI,PayTM,5061.9,Success
32787,194,2024-01-24 11:42:55,2024,January,Wednesday,11,Deposit,Credit,UPI,Bank Deposit,2656.19,Success
45088,195,2024-12-27 17:53:40,2024,December,Friday,17,Deposit,Credit,ATM,Bank Deposit,1952.07,Success
48871,196,2024-04-25 03:14:40,2024,April,Thursday,3,Bill Payment,Debit,UPI,IRCTC,20831.01,Success
1412,197,2024-09-07 16:13:21,2024,September,Saturday,16,Deposit,Credit,UPI,Bank Deposit,4417.99,Success
6525,198,2024-11-22 07:52:38,2024,November,Friday,7,Deposit,Credit,ATM,Bank Deposit,4140.53,Success
45399,199,2024-02-08 02:55:12,2024,February,Thursday,2,Withdrawal,Debit,ATM,ATM Withdrawal,9192.6,Failed
47742,200,2025-10-06 06:11:41,2025,October,Monday,6,Deposit,Credit,Online,Bank Deposit,3099.17,Success
10411,201,2023-12-06 01:11:27,2023,December,Wednesday,1,Deposit,Credit,Branch,Bank Deposit,7962.83,Success
45914,202,2025-05-18 06:45:59,2025,May,Sunday,6,Withdrawal,Debit,UPI,ATM Withdrawal,15923.14,Success
38133,203,2025-03-12 10:18:16,2025,March,Wednesday,10,Transfer,Transfer,ATM,Water Board,13748.8,Success
40961,204,2025-03-23 19:48:07,2025,March,Sunday,19,Transfer,Transfer,UPI,BigBasket,8926.0,Success
40502,205,2023-10-11 13:01:12,2023,October,Wednesday,13,Deposit,Credit,Branch,Bank Deposit,28934.95,Success
8536,206,2024-04-02 02:14:59,2024,April,Tuesday,2,Deposit,Credit,ATM,Bank Deposit,6620.91,Success
32344,207,2023-11-29 18:29:51,2023,November,Wednesday,18,Deposit,Credit,Online,Bank Deposit,11563.96,Success
18586,208,2023-12-30 05:26:22,2023,December,Saturday,5,Withdrawal,Debit,UPI,ATM Withdrawal,3117.57,Success
29442,209,2025-04-06 16:00:16,2025,April,Sunday,16,Transfer,Transfer,Online,PhonePe,26992.42,Success
14462,210,2025-10-03 15:45:30,2025,October,Friday,15,Deposit,Credit,Branch,Bank Deposit,758.36,Success
14222,211,2025-05-15 04:37:36,2025,May,Thursday,4,Withdrawal,Debit,Online,ATM Withdrawal,7021.89,Success
8842,212,2025-04-05 19:25:03,2025,April,Saturday,19,Deposit,Credit,Online,Bank Deposit,66629.97,Success
30075,213,2024-06-26 16:13:25,2024,June,Wednesday,16,Deposit,Credit,Online,Bank Deposit,520.17,Success
32638,214,2024-03-13 05:56:20,2024,March,Wednesday,5,Deposit,Credit,ATM,Bank Deposit,2739.6,Success
17402,215,2024-03-21 07:55:50,2024,March,Thursday,7,Transfer,Transfer,Online,PayTM,10255.67,Success
8019,216,2025-04-10 20:21:26,2025,April,Thursday,20,Transfer,Transfer,ATM,Electricity Board,1392.4,Success
45891,217,2024-11-16 13:36:39,2024,November,Saturday,13,Deposit,Credit,Online,Bank Deposit,12163.76,Success
20303,218,2025-09-27 11:52:23,2025,September,Saturday,11,Withdrawal,Debit,UPI,ATM Withdrawal,4351.02,Success
38043,219,2024-06-14 01:13:03,2024,June,Friday,1,Deposit,Credit,Branch,Bank Deposit,35029.6,Success
16072,220,2025-03-02 15:31:11,2025,March,Sunday,15,Bill Payment,Debit,Branch,Electricity Board,10222.11,Success
33272,221,2025-01-03 18:25:51,2025,January,Friday,18,Transfer,Transfer,ATM,PhonePe,29007.84,Success
48535,222,2024-09-05 14:53:50,2024,September,Thursday,14,Withdrawal,Debit,UPI,ATM Withdrawal,24882.71,Success
33869,223,2024-09-29 02:40:33,2024,September,Sunday,2,Withdrawal,Debit,ATM,ATM Withdrawal,11524.82,Success
16890,224,2024-02-21 21:58:31,2024,February,Wednesday,21,Deposit,Credit,UPI,Bank Deposit,806.39,Success
46917,225,2025-03-07 21:25:18,2025,March,Friday,21,Deposit,Credit,ATM,Bank Deposit,7009.64,Success
2663,226,2024-10-10 15:52:02,2024,October,Thursday,15,Transfer,Transfer,ATM,Gas Supplier,748.16,Success
20226,227,2025-07-09 20:48:01,2025,July,Wednesday,20,Deposit,Credit,ATM,Bank Deposit,19546.47,Success
11149,228,2025-04-26 03:25:09,2025,April,Saturday,3,Withdrawal,Debit,UPI,ATM Withdrawal,38730.58,Success
49487,229,2024-01-04 02:51:39,2024,January,Thursday,2,Withdrawal,Debit,ATM,ATM Withdrawal,1535.96,Success
36538,230,2025-09-08 11:02:48,2025,September,Monday,11,Transfer,Transfer,ATM,PhonePe,9104.07,Success
26056,231,2024-02-07 19:08:55,2024,February,Wednesday,19,Deposit,Credit,ATM,Bank Deposit,164.82,Success
11171,232,2024-11-11 01:19:13,2024,November,Monday,1,Bill Payment,Debit,Online,PayTM,14032.52,Success
